Comment,Designator,Footprint,JLCPCB Part #,,
BS-08-B2AA001,BT1,BS-08-B2AA001,C964777,,
C100n,"C1,C2,C4,C5,C6,C7",Capacitor_SMD:C_0402_1005Metric,C60474,,
C1u,C3,Capacitor_SMD:C_0402_1005Metric, C14445,,
BAT54C-7-F,D1,Package_TO_SOT_SMD:SOT-23,C556168,,
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Vertical,C6332197,,
Lf,L1,Inductor_SMD:L_0402_1005Metric,C2885921,,
FNR4030S4R7MT,L2,Inductor_SMD:L_Changjiang_FNR4030S,C167874,,
R330,"R1,R11,R14",Resistor_SMD:R_0402_1005Metric,C25104,,
R4k7,"R2,R3,R7,R9",Resistor_SMD:R_0402_1005Metric,C25940,,
R68k,R4,Resistor_SMD:R_0402_1005Metric,C36871,,
R22k,"R5,R13,R15",Resistor_SMD:R_0402_1005Metric,C82868,,
R47k,R6,Resistor_SMD:R_0402_1005Metric,C93943,,
R100R,R12,Resistor_SMD:R_0402_1005Metric,C106232,,
ESP-12F,U1,RF_Module:ESP-12E,C82891,,
ADS1110A0IDBVR,U2,SOT95P280X145-6N,C16598,,
TPS613221ADBV,U3,Package_TO_SOT_SMD:SOT-23-5,C2071121,,
